CODE,GENES,sum.pXPR_003,LNZ308.DMSO,LNZ308.AZD6738,LN229.DMSO,LN229.AZD6738,LN229.REGORAFENIB,potentially spike in CP0041 plasmid if possible
SLC25A24_36906,SLC25A24,522,912,717,1242,1160,1329,0
FASTKD3_48855,FASTKD3,511,1370,1569,1134,1183,1517,0
BCAS2_27637,BCAS2,467,617,679,878,815,985,0
GPR18_7545,GPR18,200,688,781,584,585,527,0
ZNF470_71081,ZNF470,286,678,702,589,581,664,0
CENPC_3033,CENPC,213,245,184,412,525,480,0
CIAPIN1_44855,CIAPIN1,215,729,866,491,539,649,0
NDUFA12_43791,NDUFA12,162,400,327,232,317,341,0
QTRTD1_49643,QTRTD1,172,375,515,317,403,500,0
STAP1_34783,STAP1,218,703,736,529,547,708,0
ABCG2_24809,ABCG2,651,1582,2049,1364,1521,1565,0
ENKUR_65341,ENKUR,325,956,922,902,1125,1142,0
NAV1_55127,NAV1,561,1538,1860,1535,1499,1799,0
COL4A5_3577,COL4A5,128,410,514,383,420,367,0
RBKS_47311,RBKS,274,830,853,616,761,858,0
MFSD8_66773,MFSD8,339,1066,1350,1196,1235,1099,0
LLPH_53391,LLPH,178,390,414,448,414,651,0
FCAMR_52715,FCAMR,546,1429,1738,1342,1573,1756,0
STRN_18433,STRN,337,936,1072,910,902,1137,0
TBC1D7_38263,TBC1D7,239,837,744,658,986,834,0
ABT1_36603,ABT1,357,361,389,695,722,939,0
HIST1H2BF_21669,HIST1H2BF,238,864,922,463,604,582,0
FAM217A_66061,FAM217A,214,819,909,497,666,679,0
SUCO_38743,SUCO,255,796,780,650,612,612,0
AFM_481,AFM,275,566,822,778,743,736,0
AVPR1B_1529,AVPR1B,150,513,544,350,461,497,0
MNS1_42343,MNS1,668,1521,1844,1306,1446,1669,0
OR4D11_65505,OR4D11,398,1141,1350,993,1062,1271,0
METTL17_47927,METTL17,160,165,235,454,421,646,0
RPS20_16589,RPS20,439,119,203,797,652,1205,0
MCTP2_43363,MCTP2,258,636,653,432,556,493,0
CYP3A7-CYP3A51P_76238,CYP3A7-CYP3A51P,372,1116,1094,783,828,1011,0
CYP3A4_4397,CYP3A4,236,666,605,658,776,672,0
SYT9_61173,SYT9,267,593,616,531,706,577,0
CCR4_3449,CCR4,315,888,1170,696,920,998,0
CYP7B1_24781,CYP7B1,635,1855,1641,1513,1629,2123,0
TTLL2_52611,TTLL2,762,2137,2256,1864,2291,2521,0
PGK1_13809,PGK1,718,877,1270,1245,1550,1431,0
MPZ_11729,MPZ,397,1181,1156,1094,1206,1319,0
EML1_5537,EML1,252,384,460,687,788,756,0
ALDH6A1_11645,ALDH6A1,625,1134,1108,1094,1443,1357,0
ZNF506_72945,ZNF506,177,306,463,424,303,387,0
HOXC11_8737,HOXC11,577,1307,1206,1488,1798,1967,0
PIWIL3_73013,PIWIL3,381,1172,1291,846,973,1171,0
RPS3A_16493,RPS3A,663,155,300,1089,936,1595,0
OR10T2_59513,OR10T2,516,1252,1394,1082,1354,1390,0
TSHZ2_59569,TSHZ2,150,354,336,309,317,282,0
TRPC5_19609,TRPC5,488,1500,1549,1362,1355,1559,0
KIF3B_24633,KIF3B,235,771,756,685,882,764,0
CRELD1_48623,CRELD1,288,510,580,634,857,754,0
SPHAR_28761,SPHAR,185,460,555,307,401,406,0
RAD50_27041,RAD50,330,468,461,804,694,982,0
CEP152_31407,CEP152,520,879,1051,1384,1317,1551,0
CCDC167_62897,CCDC167,108,258,253,161,286,238,0
BATF2_57625,BATF2,318,683,718,942,930,853,0
SLC25A13_27225,SLC25A13,600,1649,1756,1197,1673,1491,0
LRRIQ3_59321,LRRIQ3,342,1003,1139,1013,1096,1001,0
FKBP5_6365,FKBP5,233,647,731,583,637,777,0
SLC2A14_61289,SLC2A14,315,815,1215,848,835,1065,0
ACTR10_43603,ACTR10,327,138,142,549,653,671,0
ETAA1_39987,ETAA1,310,753,543,435,585,630,0
