CODE	GENES	LNZ308.DMSO	LNZ308.AZD6738	LN229.DMSO	LN229.AZD6738
SLC25A24_36906	SLC25A24	912	717	1242	1160
FASTKD3_48855	FASTKD3	1370	1569	1134	1183
BCAS2_27637	BCAS2	617	679	878	815
GPR18_7545	GPR18	688	781	584	585
ZNF470_71081	ZNF470	678	702	589	581
CENPC_3033	CENPC	245	184	412	525
CIAPIN1_44855	CIAPIN1	729	866	491	539
NDUFA12_43791	NDUFA12	400	327	232	317
QTRTD1_49643	QTRTD1	375	515	317	403
STAP1_34783	STAP1	703	736	529	547
ABCG2_24809	ABCG2	1582	2049	1364	1521
ENKUR_65341	ENKUR	956	922	902	1125
NAV1_55127	NAV1	1538	1860	1535	1499
COL4A5_3577	COL4A5	410	514	383	420
RBKS_47311	RBKS	830	853	616	761
MFSD8_66773	MFSD8	1066	1350	1196	1235
LLPH_53391	LLPH	390	414	448	414
FCAMR_52715	FCAMR	1429	1738	1342	1573
STRN_18433	STRN	936	1072	910	902
TBC1D7_38263	TBC1D7	837	744	658	986
ABT1_36603	ABT1	361	389	695	722
HIST1H2BF_21669	HIST1H2BF	864	922	463	604
FAM217A_66061	FAM217A	819	909	497	666
SUCO_38743	SUCO	796	780	650	612
AFM_481	AFM	566	822	778	743
AVPR1B_1529	AVPR1B	513	544	350	461
MNS1_42343	MNS1	1521	1844	1306	1446
OR4D11_65505	OR4D11	1141	1350	993	1062
METTL17_47927	METTL17	165	235	454	421
RPS20_16589	RPS20	119	203	797	652
MCTP2_43363	MCTP2	636	653	432	556
CYP3A7-CYP3A51P_76238	CYP3A7-CYP3A51P	1116	1094	783	828
CYP3A4_4397	CYP3A4	666	605	658	776
SYT9_61173	SYT9	593	616	531	706
CCR4_3449	CCR4	888	1170	696	920
CYP7B1_24781	CYP7B1	1855	1641	1513	1629
TTLL2_52611	TTLL2	2137	2256	1864	2291
PGK1_13809	PGK1	877	1270	1245	1550
MPZ_11729	MPZ	1181	1156	1094	1206
EML1_5537	EML1	384	460	687	788
ALDH6A1_11645	ALDH6A1	1134	1108	1094	1443
ZNF506_72945	ZNF506	306	463	424	303
HOXC11_8737	HOXC11	1307	1206	1488	1798
PIWIL3_73013	PIWIL3	1172	1291	846	973
RPS3A_16493	RPS3A	155	300	1089	936
OR10T2_59513	OR10T2	1252	1394	1082	1354
TSHZ2_59569	TSHZ2	354	336	309	317
TRPC5_19609	TRPC5	1500	1549	1362	1355
KIF3B_24633	KIF3B	771	756	685	882
CRELD1_48623	CRELD1	510	580	634	857
SPHAR_28761	SPHAR	460	555	307	401
RAD50_27041	RAD50	468	461	804	694
CEP152_31407	CEP152	879	1051	1384	1317
CCDC167_62897	CCDC167	258	253	161	286
BATF2_57625	BATF2	683	718	942	930
SLC25A13_27225	SLC25A13	1649	1756	1197	1673
LRRIQ3_59321	LRRIQ3	1003	1139	1013	1096
FKBP5_6365	FKBP5	647	731	583	637
SLC2A14_61289	SLC2A14	815	1215	848	835
ACTR10_43603	ACTR10	138	142	549	653
ETAA1_39987	ETAA1	753	543	435	585
EIF2B1_5421	EIF2B1	352	497	579	722
FAM162A_35015	FAM162A	1020	1018	1037	1317
EEF1E1_25089	EEF1E1	707	680	862	931
RBM28_41663	RBM28	823	964	1019	1066
CEP44_51379	CEP44	554	839	801	912
TIGD2_63913	TIGD2	806	989	921	1065
CSH2_4041	CSH2	785	838	791	999
NRXN3_24625	NRXN3	465	467	496	683
PARPBP_41311	PARPBP	1232	1225	1206	1472
RPL22_16373	RPL22	434	600	1177	1392
CAMK2D_2261	CAMK2D	1088	1131	808	955
OR4S1_66717	OR4S1	1785	1729	1959	2516
ACP6_38135	ACP6	125	62	406	545
EDEM3_51027	EDEM3	778	836	680	837
EWSR1_5893	EWSR1	643	659	811	695
IL17F_56841	IL17F	857	1070	658	829
COG5_28177	COG5	568	511	563	717
CXXC4_51115	CXXC4	1090	1208	765	1073
OR2A25_72001	OR2A25	447	608	659	656
DEFB126_51823	DEFB126	476	529	369	431
ZNF292_31535	ZNF292	357	358	452	617
KCNRG_67401	KCNRG	1159	1803	1159	1467
UBN2_66393	UBN2	566	443	561	735
PVALB_15549	PVALB	852	980	922	965
SMEK2_45315	SMEK2	766	1073	666	769
CSF2RA_4021	CSF2RA	1310	1435	1010	1154
C2CD2_34215	C2CD2	1062	1039	754	1034
MFN1_42987	MFN1	1021	1319	871	1429
NUDCD3_32655	NUDCD3	1008	1340	1049	1285
TMEM257_24001	TMEM257	561	693	639	709
SLC17A8_66209	SLC17A8	906	1100	1011	1024
FEZF1_71413	FEZF1	703	767	581	828
